element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,playername,web_name,position
269,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,1356,0,0,Ivan Neves Abreu Cavaleiro,I.Cavaleiro,MID
269,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-596,736,0,596,Ivan Neves Abreu Cavaleiro,I.Cavaleiro,MID
269,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-178,585,0,178,Ivan Neves Abreu Cavaleiro,I.Cavaleiro,MID
269,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-76,511,0,76,Ivan Neves Abreu Cavaleiro,I.Cavaleiro,MID
270,5,9,6,FALSE,2023-08-12T14:00:00Z,0,1,1,45,1,0,0,0,0,0,0,0,0,0,0,21,37.8,1.5,46.0,8.5,0,1.12,0.01,1.13,0.60,55,0,7367,0,0,Bobby De Cordova-Reid,De Cordova-Reid,MID
270,13,4,2,TRUE,2023-08-19T14:00:00Z,0,3,2,67,0,0,0,2,0,0,0,0,0,0,0,4,0.0,1.2,10.0,0.8,1,0.15,0.01,0.16,1.94,55,5776,19528,7458,1682,Bobby De Cordova-Reid,De Cordova-Reid,MID
270,21,1,2,FALSE,2023-08-26T14:00:00Z,2,2,3,88,0,0,0,2,0,0,0,0,0,0,0,6,1.6,12.0,4.0,1.8,1,0.00,0.03,0.03,2.58,55,-2812,17159,1921,4733,Bobby De Cordova-Reid,De Cordova-Reid,MID
270,39,13,4,FALSE,2023-09-02T14:00:00Z,5,1,4,72,0,1,0,4,0,0,0,1,0,0,0,11,3.8,0.9,36.0,4.1,1,0.42,0.00,0.42,2.07,55,-2723,14973,509,3232,Bobby De Cordova-Reid,De Cordova-Reid,MID
271,5,9,8,FALSE,2023-08-12T14:00:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,2,30,30.8,0.9,0.0,3.2,1,0.00,0.01,0.01,2.73,45,0,15765,0,0,Issa Diop,Diop,DEF
271,13,4,1,TRUE,2023-08-19T14:00:00Z,0,3,2,90,0,0,0,3,0,0,0,0,0,0,0,9,7.6,2.6,6.0,1.6,1,0.12,0.02,0.14,3.80,45,39463,102436,44288,4825,Issa Diop,Diop,DEF
271,21,1,1,FALSE,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,14,25.4,3.9,0.0,2.9,1,0.00,0.18,0.18,3.25,45,-11050,90761,4590,15640,Issa Diop,Diop,DEF
271,39,13,-1,FALSE,2023-09-02T14:00:00Z,5,1,4,90,0,0,0,5,0,0,0,1,0,0,0,6,10.0,0.2,0.0,1.0,1,0.00,0.00,0.00,2.26,45,-7190,86115,3690,10880,Issa Diop,Diop,DEF
272,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,2671,0,0,Tyrese Francois,Francois,MID
272,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-248,2930,153,401,Tyrese Francois,Francois,MID
272,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-322,2711,87,409,Tyrese Francois,Francois,MID
272,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-215,2630,127,342,Tyrese Francois,Francois,MID
273,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,8651,0,0,Anthony Knockaert,Knockaert,MID
273,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-755,8688,366,1121,Anthony Knockaert,Knockaert,MID
273,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1192,7590,130,1322,Anthony Knockaert,Knockaert,MID
273,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-581,7282,354,935,Anthony Knockaert,Knockaert,MID
274,5,9,0,FALSE,2023-08-12T14:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,12218,0,0,Terence Kongolo,Kongolo,DEF
274,13,4,0,TRUE,2023-08-19T14:00:00Z,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-918,13673,449,1367,Terence Kongolo,Kongolo,DEF
274,21,1,0,FALSE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-972,13379,355,1327,Terence Kongolo,Kongolo,DEF
274,39,13,0,FALSE,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-823,13081,236,1059,Terence Kongolo,Kongolo,DEF
